,idiom,meaning,example,idiomatic_part
871,backseat driver,Meaning: co-passenger who unnecessarily criticizes the driver while himself doing nothing,Example: I cannot stand my relatives being backseat driver to me. Read on,backseat driver
872,can’t judge a book by its cover,Meaning: outward appearance cannot be an indicator of someone or something's value or worth,"Example: The candidate did not look very intelligent, but you can't judge a book by its cover. Read on",can't judge a book by its cover
873,caught between two stools,"Meaning: come between two alternatives, and so fail to fulfill either of them",Example: This book cannot be an academic one nor can it be a popular commercial one; it falls between two stools. Read on,between two stools
874,take name in vain,Meaning: Use someone's name in a way that shows a lack of respect,Example: Atheists find one way or the other to take God's name in vain. Read on,name in vain
875,yesterday’s man,Meaning: someone especially a politician whose career is finished,"Example: The officer is retiring from his job next month, soon he will be a yesterday's man. Read on",yesterday's man
876,be up on,Meaning: be well informed about a matter or subject,"Example: If you want to start teaching English to grown-up kids, you need to be up on it else you're going to be unable to clarify their doubts. Read on",be up on
877,on one’s uppers,Meaning: extremely short of money,Example: All the artists in their initial phase of career were on their uppers. They have struggled enough to reach this level of success. Read on,on their uppers
878,cry over spilt milk,Meaning: to be upset about things that have already been done,"Example: While its sad that the results have not been as good as you expected, you should now focus on moving ahead and achieving better results next time; there is no use crying over spilt milk. Read on",crying over spilt milk
879,upper crust,"Meaning: the aristocracy and upper classes, informal",Example: Reservation system was developed to help the needy. Now it has become privilege for the society therefore even the upper crust are demanding reservation these days. Read on,upper crust
880,uncle Tom Cobley and all,Meaning: used to denote a long list of people (in British English),"Example: Businessman, entrepreneurs, Uncle Tom Cobley and all had been invited to the Real Estate Awards function in the city last month.3 Read on",Uncle Tom Cobley and all
881,late unpleasantness,Meaning: the war that took place recently,"Example: No sooner had Japanese recovered from the late unpleasantness, a massive volcanic eruption took place destroying huge no. of lives & property. Read on",late unpleasantness
882,ugly duckling,Meaning: a young person who turns out to be beautiful or talented against all expectations.,Example: Some people think they've turned into an ugly duckling whereas the truth is they are & look the same as they used to in their childhood. Read on,ugly duckling
883,variety is the spice of life,Meaning: new and exciting practices make life more attractive,Example: I started learning tennis after having tried swimming because variety is the spice of life. Read on,variety is the spice of life
884,vale of years,Meaning: the decreasing time of a individual's life.,Example: I shall not leave my parents during their vale of years. Read on,vale of years
885,spin a yarn,Meaning: to tell a tale,Example: Kids like to have their grandparents spin a yarn for them. Read on,spin a yarn
886,belly up,Meaning: to die,Example: Many companies went belly up during the great inflation. Read on,belly up
887,save your breath,Meaning: to not waste effort on something that has no outcome,Example: You must save your breath by not asking this generation to keep their cell phones at rest. Read on,save your breath
888,have no truck with,Meaning: avoid dealing or being associated with,Example: You should have no truck with those few in your class. They are just trying to misuse your trait of helping others. Read on,have no truck with
889,best thing since sliced bread,Meaning: something that is too fine,Example: The invention of internet has changed the way we live; it is the best thing since sliced bread. Read on, best thing since sliced bread
890,the best of both worlds,Meaning: a win-win situation,"Example: ""If you decide to live here you get the greenery of the countryside and the amenities of urban life. Its the best of both worlds, really."" Read on",the best of both worlds
891,actions speak louder than words,Meaning: what you do carries more weight than what you say,"Example: ""You always speak of the importance of charity, but never do anything. Actions speak louder than words!"" Read on",Actions speak louder than words
892,add insult to injury,Meaning: to make a bad situation worse,"Example: The company rejected his application for a job, and to add insult to injury, refused to pay his expenses. Read on",add insult to injury
893,penny for your thoughts,Meaning: a way of asking what someone else is thinking,"Example: ""You have been quiet for a while, a penny for your thoughts."" Read on", penny for your thoughts
894,hot potato,Meaning: any subject which several folks are talking about and which is frequently argued,Example: The issue of gun control is a political hot potato in the United States. Read on,hot potato
895,bankers’ hours,Meaning: short working hours,"Example: With our boss on leave, most of us worked banker's hours for the whole week. Read on",banker's hours
896,fit as a fiddle,Meaning: A very healthy person,"Example: My grandfather is 90 years old, but he is as fit as a fiddle. Read on",fit as a fiddle
897,throw in the towel,Meaning: to quit,Example: Rocky was told by his trainer that he was going to throw in the towel in if he did not start throwing punches Read on,throw in the towel
898,every cloud has a silver lining,Meaning: there is something good in everything that's bad,"Example: Reena was depressed to be confined to bed after her surgery, but over time, when she could spend a lot of time with her family and catch up with old friends, who came to visit her, she realized that every cloud has a silver lining. Read on",every cloud has a silver lining
899,third wheel or fifth wheel,Meaning: a person who is in a situation where they are not needed,Example: I was the only person at the dinner party without a date. I felt like a third wheel. Read on,third wheel
900,lights are on but nobody is home,Meaning: used to describe a stupid person,"Example: I tried all to understand him, but the lights are on but nobody is home. Read on",lights are on but nobody is home
901,liquor up,Meaning: get someone drunk,"Example: When their friends came for a visit, they took them to the bar and liquored them up. Read on",liquored them up
902,take the edge off,Meaning: blunt the effect of,Example: Have a painkiller - it'll take the edge off the pain your in hand. Read on,take the edge off
903,early days,Meaning: it is too soon to make a judgment about something,"Example: The new measures seem to have worked, but it's early days yet and the Reserve Bank of India Governor would rather not make any comment about the country's economy. Read on",early days
904,play by ear,Meaning: learn music by ear,Example: My sister learned to play the piano by ear when she was a child. Read on,play the piano by ear
905,play it by ear,Meaning: improvise,"Example: Rather than adopting a new academic strategy, the principal decided to play it by ear. Read on",play it by ear
906,do the trick,Meaning: successfully achieve a result,"Example: If nothing seems to be working, just pray to the God, sometimes that does the trick. Read on",does the trick
907,deals with,Meaning: be concerned with something,Example: We will have to plan our strategy to deal with the rising incident of theft. Read on,deal with
908,just deserts,Meaning: get what one deserves,"Example: After the supervisor was suspended, many workers felt that he got his just deserts. Read on",just deserts
909,in high dudgeon,Meaning: feeling or exhibiting great resentment,"Example: After the scuffle, the man who was affronted left in high dudgeon. Read on",in high dudgeon
910,dribs and drabs,Meaning: in small irregular quantities,Example: The checks for the charity are coming in dribs and drabs. Read on,dribs and drabs
911,drop a bombshell,"Meaning: make an unexpected, startling or disturbing announcement",Example: My sister dropped a bombshell by announcing she was discontinuing her study for a job. Read on,dropped a bombshell
912,double whammy,Meaning: situation where two bad things happen at the same time,"Example: Boss fired me from the job and I lost my wallet too, what a double whammy? Read on",double whammy?
913,on the dot,Meaning: exactly on time,Example: We were asked to be there at five on the dot. Read on,on the dot
914,done for,Meaning: to be over,Example: The deal is done for I am not going to speak with that man again. Read on,done for
915,dog in the manger,Meaning: one who prevents others from enjoying something despite having no use for it,Example: Stop being such a dog in the manger and let your sister ride your bike if you're not using it. Read on,dog in the manger
916,do or die,Meaning: a situation in which you must take a big risk in order to avoid failure,Example: A do-or-die attempt to halt the invaders. Read on,do-or-die
917,treat like dirt,Meaning: behave someone very badly without respect,Example: My boss treats all his employees like dirt. Read on,like dirt
918,keep your chin up,Meaning: be stalwart and courageous in a tough situation,Example: Don't let the difficulties intimidate you; keep your chin up. Read on,keep your chin up
919,come a cropper,Meaning: to not succeed at something,Example: The minister came a cropper as soon as she was elected. Hence she was transferred from her ministry and given something else to do in the cabinet. Read on,came a cropper
920,a dime a dozen,Meaning: something very common and not having much value,Example: Adventure and traveling based reality shows are now outdated and a dime a dozen. Read on,a dime a dozen
921,dig heels in,Meaning: to be firm and resolute about something,Example: The businessman was digging heels about buying these stocks even though all of his business partners were against it. They finally had to give him his way. Read on,digging heels
922,all in a day’s work,Meaning: refers to the work that is done regularly by someone,Example: Teaching difficult students might sound like a nightmare to other people but to teachers it is all in a day's work. Read on,all in a day's work
923,call it a day,"Meaning: stop doing something, especially working","Example: After second heart attack, she decided it would be best to follow her doctor's advice and call it a day. Read on",call it a day
924,dark horse,"Meaning: a little known, unexpectedly successful entrant","Example: You never can tell, some dark horse many come along and win a House of Lords seat. Read on",dark horse
925,put damper on,Meaning: to discourage someone from doing something that they want to,Example: The rain today put a damper on the picnic plans. Read on,put a damper on
926,dance to tune,Meaning: to do what someone else forces you to do,Example: In order to keep the peace Peter has to dance to his wife's tune. Read on,to dance to his wife's tune
927,at daggers drawn,Meaning: almost ready to fight,Example: The two schools have been at daggers drawn for months. Ever since they played in the championship game. Read on,at daggers drawn
928,down to earth,"Meaning: decent, simple, realistic","Example: She is very down to earth person, not at all attracted by the glamour world. Read on",down to earth
929,fingers crossed,Meaning: a gesture of crossed fingers used to express good luck,"Example: Good luck with your test tomorrow, I'll have my fingers crossed. Read on",fingers crossed
930,in deep water,Meaning: a very serious situation,Example: The political party is in deep water after it was discovered that their candidate had lied in the report. Read on,in deep water
931,not give a damn,Meaning: to not care,Example: Their son does not give a damn about their health. His ill habits are costing the entire family now. Read on,not give a damn
932,camp follower,"Meaning: a person who is supportive of the cause, person or organisation",Example: The only issue of being related to a celebrity is that the camp followers never leave you alone. Read on,camp followers
933,come up with,Meaning: to find a new thought,Example: The team has to come up with cost saving ideas soon otherwise the budget cut will cost them a lot. Read on,come up
934,come on,Meaning: to request to hurry (something),Example: The waiter asked us to come on and get the table before the people who had reserved it would arrive. Big tips do work! Read on,come on
935,come to a head,Meaning: to reach a point in a situation where action needs to be taken,Example: The negative political climate in America seems to have come to a head. Read on,come to a head
936,cost an arm and a leg,Meaning: very expensive,"Example: I'd really like to have a new farm house, but it may cost me an arm and a leg. Read on",cost me an arm and a leg
937,a cinch,Meaning: an extremely easy task,Example: I have been preparing for this presentation for the last six months. This promotion will be a cinch for me. Read on,a cinch
938,choke up,Meaning: make a person become overemotional and speechless,Example: He chokes up every time someone brings up the topic of their sudden movement to a new country. Perhaps there is a story behind it that we do not know about. Read on,chokes up
939,go through channels,Meaning: to follow the correct steps in order to get something done,Example: If you want to get a new licence you will have to go through the proper channels. Otherwise it will not be legal. Read on,go through the proper channels
940,head in the clouds,Meaning: daydreaming or absentminded,Example: He roams around all night with his head in the clouds. Read on,head in the clouds
941,cash in,Meaning: to earn out of something in big amounts,Example: He has cashed in on the estate that his father created. I do not believe he has anything to call his own out there. Read on,cashed in
942,creme de la creme,Meaning: to be exclusive,Example: The children of the creme de la creme crowd go to this school. Needless to say that it is among the costliest in town. Read on,creme de la creme
943,to the core,Meaning: totally,"Example: Stella's plan was rotten to the core, it would not work in today's world. Read on",to the core
944,cut and dried,Meaning: ready-made,Example: The rules in our school are cut and dried. Everyone is expected to follow them. Read on,cut and dried
945,come again,Meaning: to request someone to repeat what has just been told,Example: The waiter could not understand what I was saying and kept repeating come again every time I named a dish to be ordered. Read on,come again
946,Jack of all trades,Meaning: someone who is competent at many things but does not excel at any of them,Example: I am very glad that my husband is a Jack of all trades; it saved us a lot of money when it came to renovating our house. Read on,Jack of all trades
947,the calm before the storm,Meaning: an extremely peaceful atmosphere right before any serious incident or crisis,"Example: The family's meeting on property dispute begins today and I'm just sitting down with a cup of coffee, enjoying the calm before the storm. Read on",the calm before the storm
948,cut and thrust,"Meaning: furious contest, discussion, etc.",Example: The man is not sure if he has it in him to appreciate the cut and thrust of such a huge organisational business. Read on,cut and thrust
949,cry wolf,"Meaning: to keep asking for help, even when you don't need it. When you really need help, no one believes you.",Example: The little boy had cried wolf so many times that when he was really sick no one believed him. Read on,cried wolf
950,as the crow flies,Meaning: in a straight line,Example: The nearest hotel is about 24 kilometers away as the crow flies. Read on,as the crow flies
951,"easy come, easy go",Meaning: readily won and readily lost,"Example: I won a lot of money at the casino last night but lost it on my way out. Oh well, easy come, easy go. Read on","easy come, easy go"
952,behind closed doors,Meaning: in clandestine,"Example: The planning board of the finance division constantly meets behind closed doors, in case its negotiations become known in advance. Read on","behind closed doors,"
953,keep own counsel,Meaning: say little or nothing about one's opinions or intentions,Example: Our boss is notorious for keeping his own counsel; you never know what he has in his mind. Read on,keeping his own counsel
954,in the cahoots,Meaning: to do something in hiding or secret because it is morally or socially not acceptable,Example: It is usually the close circle of celebrities who are in the cahoots with the paparazzi. This is how celebrity outings are caught on tape so often. Read on,in the cahoots
955,cool heels,Meaning: to wait or take rest,Example: The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned. Read on,cooling his heels
956,come to pass,Meaning: to happen,Example: The lady has come to pass that she will be in labour soon. Read on,come to pass
957,chime in,Meaning: to interject a remark,Example: The family always chimes in with the others so they never feel like they have joined the social network from out of town. Read on,chimes in with
958,cave in,"Meaning: to fall for something, either literally or metaphorically",Example: The building caved in by itself after being erect for almost 70 years. Read on,caved in
959,carte blanche,Meaning: to have complete authority,Example: The guy has carte blanche over who works and who does not in this company. Read on,carte blanche
960,call names,Meaning: to insult someone,"Example: She was afraid that if she wore spectacles to her school, the other kids would call her names. Read on",call her names
961,cut down,Meaning: to reduce the amount of something (usually bad),Example: I am trying to cut down on sugar this month. I would like to lose some weight before going on holiday. Read on,cut down
962,off the cuff,Meaning: in an unguarded way,Example: She has a habit of making off-the-cuff remarks which she later denies. Read on,off-the-cuff
963,curry favour,Meaning: seek to gain advantage by flattery,Example: Her uncle is so rich that she feels compelled to curry favor with him lest she does not get mentioned in the will! Read on,curry favor
964,cut corners,"Meaning: economise on time, money, materials or effort, perhaps unwisely",Example: It is certainly not a sensible move to cut corners with national security. Read on,cut corners
965,on cue,Meaning: to happen at the precise moment,Example: The race started right on cue. It was indeed enthralling to watch. Read on,right on cue
966,take up the cudgels,Meaning: argue strongly in support or against somebody or something,Example: The whole country has taken up the cudgels for the two men accused of breaking into the school. Read on,taken up the cudgels
967,cup of tea,Meaning: to like something,Example: This music is much more my cup of tea than this new stuff. Read on,my cup of tea
968,full cry,Meaning: to talk about a subject in an eager tone,Example: The opposition party was in full cry in the parliament yesterday to ensure that the changes proposed by the government are not passed as legislation. Read on,full cry
969,on the crest of a wave,Meaning: to reach the highest point of success,"Example: The music band comprising engineering students is currently on the crest of a wave, with a launch of new album it has planned for next year. Read on",on the crest of a wave
970,get cracking,Meaning: to hurry something up,Example: The laundry man better get cracking with our clothes else we will miss the event. Read on,get cracking
971,blow cover,Meaning: to reveal the true identity,Example: The custom's officer recognised the man from a wanted poster and blew his cover right out. Read on,blew his cover
972,count chicken,Meaning: make plans based on events that may or may not happen,Example: It is not good to start counting your chickens when you do not even have the cash to start your own venture. Read on,counting your chickens
973,couch potato,Meaning: a chronic television viewer,Example: My younger sister is a great couch potato; she can watch TV 24 hours a day. Read on,couch potato
974,cut the cord,Meaning: stop needing somebody else to look after you and start acting independently.,"Example: In order to achieve true independence, developing countries must cut the cord and stop asking for financial aid from the developed countries. Read on",cut the cord
975,cool as cucumber,"Meaning: be very calm and relaxed, particularly when it's astonishing","Example: There he stood, cool as cucumber and totally oblivious to the violence that had shattered the very fabric of the society. Read on",cool as cucumber
976,under a cloud,Meaning: under suspicion,Example: The luxury transport industry is under a cloud at the moment after newspapers revealed that many indulged in illegal activities. Read on,under a cloud
977,cock and bull story,"Meaning: complicated, ridiculous, or unbelievable story",Example: She started to tell some cock and bull story to the police officers about how she found a huge bag containing 5 pounds of gold. Read on,cock and bull story
978,cloud nine,Meaning: very happy,Example: She's been on cloud nine since she heard the news of her engagement. Read on,cloud nine
979,out of the closet,Meaning: go public about something private or hidden,Example: He was in his late teens when he came out of the closet. Read on,came out of the closet
980,clean sweep,Meaning: an irresistible victory,Example: The forecasters are predicting of making a clean sweep for the ruling party in the approaching election. Read on,clean sweep
981,come clean,Meaning: to make a disclosure,Example: The guy came clean after the police had started their investigation about the robbery. Read on,came clean
982,round the clock,Meaning: continuously or interrupted,Example: The counselor has been working round the clock with patients. His dedication has been acknowledged by the hospital through this award. Read on,round the clock
983,clean slate,Meaning: to wipe the past out and begin afresh,Example: The criminal has completed his sentence and has come out as a clean slate. Read on,a clean slate
984,Hobson’s choice,Meaning: given two options when in fact there is only one choice,"Example: This is the dirtiest hotel that I have ever slept in! It is this room or out on the street, it's Hobson's choice. Read on",Hobson's choice
985,strike the chord,Meaning: strike the note,Example: The two immediately struck a note basis the fact that they follow the same faith. This has led to a beautiful marriage and a lifelong companionship. Read on,struck a note
986,in the can,Meaning: to be completed,Example: The work is almost entirely in the can if only he can convince the managing directors to give him a raise now. Read on,in the can
987,sell like hot cakes,Meaning: be a great commercial success,Example: These books are selling like hotcakes. Read on,selling like hotcakes
988,a piece of cake,Meaning: very easy task,"Example: Don't worry, Sophie - this job interview will be a piece of cake for you - you have all the skills they need and I think you're absolutely the best candidate. Read on",a piece of cake
989,crack of dawn,Meaning: very early in the morning,"Example: The tsunami hit the shores of Japan at the crack of dawn, which shattered the entire shore to one miles deep. Read on",at the crack of dawn
990,on the case,Meaning: to do what is the best course of action in the given situation,Example: The best detective from the police department is on the case and we will be hearing about the culprit being nabbed very soon now Read on,on the case
991,can of worms,"Meaning: to get into something that is messy, has problems and is unwanted",Example: The can of worms was wide open when he asked her about her past. Read on,can of worms
992,burst at the seams,Meaning: to be filled up to the brim,Example: The meal was absolutely delicious but now I am bursting at the seams. Read on,bursting at the seams
993,beg to differ,Meaning: to politely refuse something,Example: The argument was quite wonderful in his opinion but I beg to differ. I never enjoy political debates. Read on,beg to differ
994,in the black,Meaning: to not be in debt,Example: The employees were in the black until the management wrapped up the entire business. Read on,in the black
995,close the books,Meaning: set the ending to a concerned issue,Example: The accountant closed the books and that was the end of your 40 year old favourite sweet shop. Read on,closed the books
996,betwixt and between,Meaning: to be undecided about something,Example: The girl was betwixt and between which of her parents to choose during the divorce trial. Read on,betwixt and between 
997,by the way,Meaning: incidentally,"Example: I will not be going to the party. By the way, I do not like him too much. Read on",By the way
998,break down,Meaning: to stop working,Example: His car broke down. Read on,broke down
999,better off,Meaning: to shun someone or something away so that it becomes better than before,Example: The family is better off without this guy who respects nobody and thinks that he is the centre of the universe at all times. Read on,better off
1000,buzz word,Meaning: a phrase that is used to describe a word or phrase that is popular in a group of people,Example: The college students these days have many buzz words that their parents do not understand. Read on,buzz words
1001,go by the book,"Meaning: do things strictly according to the written rules, etc.",Example: The most successful officers are not those who always go by the book but use their initiative. Read on,go by the book
1002,take a beating,Meaning: to be defeated in doing something and be reprimanded for the same,Example: The younger sibling never takes a beating even if they have done the mischief. It is always the older child who is blamed. Read on,takes a beating
1003,stab in the back,Meaning: a disloyalty,"Example: I have done everything for her, but she left me because of that guy, she stabbed in my back. Read on",stabbed in my back
1004,bad-mouth,Meaning: to say something bad about something,Example: The social parties in this area are just meant for old ladies to gather around and bad-mouth everyone who did not show up. I would never go for one. Read on,bad-mouth
1005,mean business,Meaning: to be focused about achieving a goal,Example: She meant business when she said that she will take the number one position in the tennis world. Read on,meant business
1006,hide light under a bushel,Meaning: to show modesty towards something or someone,Example: The man kept hiding his light under a bushel even though the whole neighbourhood is aware of his cleanliness initiatives for the society. Read on,hiding his light under a bushel
1007,burn fingers,Meaning: to bear an unpleasant result of an action that has been taken in the past,Example: The minister was warned not to venture into this sort of a contract. If he wants to burn his fingers in spite of that then he may continue. Read on,burn his fingers
1008,at bottom,Meaning: to the core of the object,"Example: At bottom she is her father's daughter. No matter how much the family curses him, she will always be on his side. Read on",At bottom
1009,born yesterday,Meaning: naive; inexperienced,"Example: Susan might look young, but she was not born yesterday. She is not going to fall for your lies. Read on",she was not born yesterday
1010,bona fide,"Meaning: to be genuine, verified","Example: The text on this website is bona fides, always. Read on",bona fides
1011,feel blue,Meaning: to feel sad or depressed,Example: The men in the army have started feeling blue after being on post for more than six months without getting a single holiday. Read on,feeling blue
1012,blue blood,Meaning: a member of an upper-class family,Example: The new student is very arrogant because his blood is blue. Read on,blood is blue
1013,bird of passage,Meaning: a transient,Example: She moves out nearly every year; she's a true bird of passage. Read on,bird of passage
1014,butterflies in stomach,Meaning: to feel very nervous and restless,Example: He had butterflies in his stomach as he walked out onto the stage for his dance performance. Read on,had butterflies in his stomach
1015,turn back on,Meaning: choose not to speak to,"Example: The client has been given a commitment, we cannot turn back on the project now even if it means working for extra hours. Read on",turn back on
1016,let bygones be bygones,Meaning: what's done is done,Example: The two international rivals shook hands and agreed to let bygones be bygones. Read on,let bygones be bygones
1017,bull in a china shop,"Meaning: extremely awkward, clumsy person",Example: The president has been attacking foreign ministers and even the people in his own party like a bull in a china shop. This has not only led to a lot of criticism but people have started alienating from him. Read on,like a bull in a china shop
1018,a fast (or quick) buck,Meaning: earn money quickly and often in a way that is not honest or normal,Example: Jack trying to make a fast buck by selling burgers in a busy street. Read on,make a fast buck
1019,bear the brunt of,Meaning: to be bearing the main force that came from a blow,Example: The family has borne the brunt of his misdeed for a very long time. I think they should be excused now. Read on,borne the brunt of
1020,bread and butter,Meaning: to indicate what a person earns or earns for,"Example: The person depends on you for his bread and butter, how can you be so thoughtless? Read on",bread and butter
1021,think outside the box,Meaning: think out of the box,Example: The team always thinks outside the box to come up with unique advertisements for all its clients. Read on,thinks outside the box
1022,be in the same boat,Meaning: be in the same unpleasant situation as other people,"Example: The speaker said that everyone should make an effort towards protection of the environment, as everyone was in the same boat and climate changes would have dire consequences for all. Read on",in the same boat
1023,blow hot and cold,Meaning: to sometimes like or be interested in something or somebody and sometimes not,"Example: Why are you blowing hot and cold simultaneously? Tell me clearly whether you want to go with it, or not. Read on",blowing hot and cold
1024,once in a blue moon,Meaning: very rarely,"Example: The earthquakes hits once in a blue moon in this part of the earth, we never felt it. Read on",once in a blue moon
1025,new blood,Meaning: young and active people,Example: The company management feels that the new blood should be used to find process improvement ideas because they can provide a third person perspective to our processes. Read on,new blood
1026,draw a blank,Meaning: to get no response from someone,Example: The bank manager will question you on why you need such a big amount as loan. You have to be confident in your answers and for heaven's sake do not draw a blank at that time. Read on,draw a blank
1027,in black and white,Meaning: printed form of a document,Example: Bank demanded in submit the proposal in black and white. Read on,in black and white
1028,black sheep,Meaning: a disgrace,Example: I have always been the black sheep of my family. Everyone else has responsible jobs while I have chosen to be an artist. Read on,black sheep
1029,bite tongue,Meaning: to keep yourself from saying something that you really want to say,Example: I had to bite my tongue when Peter said that he was hard-working. Read on,bite my tongue
1030,bite off more than can chew,Meaning: try to do more than one is able to do,"Example: By accepting two part-time jobs, he is clearly biting off more than he can chew. Read on",biting off more than he can chew
1031,bite the hand that feed,Meaning: to turn against someone who has been a benefactor in the past,Example: The strategies of the state government are not perfect but the people should not bite the hand that feeds them since many lucrative policies have been brought about by this government for the common people. Read on,bite the hand that feeds
1032,bite the dust,Meaning: to fall to the ground,Example: The soldier bit the dust after a very long fight and even at that he managed to take many enemy soldiers with him. Read on,bit the dust
1033,big deal,Meaning: important thing,Example: Winning a scholarship is no big deal for him. Read on,no big deal
1034,bits and pieces,Meaning: miscellaneous small objects,"Example: After the accident, there were bits and pieces of the wreckage spread all over the road. Read on",bits and pieces
1035,a bird in the hand,Meaning: a possession that is worthy,Example: The fact is that he did not realise that a bird in the hand was worth more and went after having an extra marital affair. Now he neither has his wife nor his girlfriend. Read on,a bird in the hand
1036,foot the bill,Meaning: pay the bill,Example: It was a splendid party and I'm glad that I don't have to foot that particular bill. Read on, bill
1037,fill the bill,Meaning: be exactly suitable for a particular situation,Example: The person who claims he fills the bill for the role of such an important office should at least be decent with his communication on social networks. This guy is not worth the people's while. Read on,fills the bill
1038,back to the drawing board,Meaning: back to the planning stage,"Example: My experiment was a failure, so I'm back to the drawing board. Read on",back to the drawing board
1039,big cheese,Meaning: to be an important and successful individual,Example: The guy is among the big cheeses in the region and his word rules. Read on, big cheeses
1040,bide time,Meaning: to wait for the perfect moment to do something,Example: The big tiger bides time until the zebra had to make its way to the water fountain and then struck. Read on,bides time
1041,beyond a shadow of doubt,Meaning: to be certain about something's validity,Example: The government has clarified beyond a shadow of doubt that the people who have been evading taxes so far will be caught very soon. Read on,beyond a shadow of doubt
1042,the better of,Meaning: to become superior to someone or thing,Example: The man has seen many troubled times and is determined to give the better of days to his children. Read on,the better of
1043,better half,Meaning: spouse,Example: I think a two-bedroom flat would suit us but I'd better confirm it with my better half. Read on,better half
1044,better late than never,Meaning: it is better for somebody or something to be late than never to arrive or to happen,Example: All of us have been waiting for you for two hours - but better late than never. Read on,better late than never
1045,make the best of,Meaning: to look for a positive side of a seemingly negative situation,Example: The sun was shining so he made the best of his day and went to the beach with his family. Read on,made the best of
1046,below the belt,Meaning: to be mean and unfair (in a fight),Example: The shot that he took at him was completely below the belt. Decent people do not compete like this. Read on,below the belt
1047,raining cats and dogs,Meaning: too much heavy rain,Example: It's raining cats and dogs I am worried about how my kids will reach home. Read on,raining cats and dogs
1048,a bed of roses,Meaning: easy option,Example: She found that taking care of old parents was not a bed of roses. Read on,a bed of roses
1049,tighten belt,Meaning: to save your money,Example: I have had to tighten my belt since I lost my job at the ice cream factory. Read on,tighten my belt
1050,bated breath,Meaning: to wait in a nervous and excited manner,Example: The announcer announced the last number with bated breath which made the audience very anxious of the result. Read on,bated breath
1051,beat a hasty retreat,Meaning: abandon something (speedily),"Example: Once I realized that John was going to be at the party, I beat a hasty retreat. Read on",beat a hasty retreat
1052,at bay,Meaning: to keep something dangerous at a safe distance,Example: The scientists were able to keep the disease at bay with the help of modern medicine. Read on,at bay
1053,bark up the wrong tree,Meaning: waste one's efforts by pursuing the wrong thing or path,Example: It was a very sensitive case and yet for over one year the investigators kept barking up the wrong tree. Read on,barking up the wrong tree
1054,bang on,Meaning: to be exact; to be correct; to be proper,Example: The documentary was bang on the subject of female foeticide. Read on,bang on
1055,banana republic,"Meaning: a small, poor country with a weak, corrupt or dishonest government","Example: If the current Prime Minister wins the election again, nobody can save our country from becoming a banana republic. Read on",banana republic
1056,have a ball,Meaning: to have a great time,Example: The team had a ball at the corporate event. Rarely are such parties so interesting for the employees. Read on,had a ball
1057,the ball is in court,Meaning: the initiative for taking action lies with somebody,Example: The entire family has stood by his decision to move to another country but the ball is in his court if he decides to change his mind at the last minute. Read on,the ball is in his court 
1058,back door,Meaning: to take indirect or unofficial route to get something done,Example: The agency was given to him because he slid into the contract through the back door. Read on,back door
1059,on the brink of,Meaning: to be on the verge of doing something,Example: The dam was on the brink of pouring over when the officials decided to open the gates and let the water out. Read on,on the brink of
1060,cross the bridge,Meaning: to delay worrying about something that might not happen anyway,"Example: We think that there may be too many people to fit into the hall, but we will cross that bridge when we come to it.  Read on",cross that bridge when we come to it. 
1061,back to square one,Meaning: return to where one started from,"Example: The Government and the State Bank spent years strengthening the nation's economy but the recession and slowdown shattered it, so we are back to square one. Read on",back to square one
1062,get to the bottom,Meaning: to find out the truth relating to a situation,"Example: The murderer will not get away with it, the news anchor said. She assured the audiences that the police will get to the bottom of it all. Read on",get to the bottom
1063,bone of contention,Meaning: the subject of a dispute,Example: A serious bone of contention between the landowners and the developers was the compensation price for the land. Read on,bone of contention
1064,above board,"Meaning: straight; without concealment, legitimate; open",Example: The company expected the deal to be cleared above board and at the fastest pace possible. Read on,above board
1065,out of the blue,Meaning: out of nowhere or unexpectedly,"Example: Out of the blue, a deer came in front of my car. Read on",Out of the blue
1066,turn a blind eye,Meaning: deliberately overlook,"Example: As a police officer, you cannot turn a blind eye to any of the illegal activities around you. Read on",turn a blind eye
1067,a bit much,Meaning: to be excessive,Example: The concept and story was a bit much for me to understand everything clearly. That is why I did not invest with this company. Read on,a bit much
1068,give hell,Meaning: to give someone a harsh scolding,Example: That office gives hell to its employees because the boss is mean guy. Read on,gives hell
1069,the benefit of the doubt,Meaning: regards a person as innocent unless confirmed otherwise,Example: Let's give her the benefit of the doubt and assume that she is right. Read on,the benefit of the doubt
1070,get out of bed on the wrong side,Meaning: be very irritable and grouchy,Example: You seem to be in a very bad temper today. Did you get out on the wrong side of the bed? Read on,get out on the wrong side of the bed
1071,bend over backwards,Meaning: do all in one's power (usually to achieve something or accommodate somebody),Example: Banks are bending over backwards to provide facilities to the depositors. Read on,bending over backwards
1072,as well as,Meaning: additionally,Example: The sound as well as picture quality are best on this TV screen. Read on,as well as
1073,as well,Meaning: to be in addition to (something),Example: The car as well as the bike need a mechanic for maintenance to keep it running well. Read on,as well as
1074,as to,Meaning: with regard to,"Example: ""As to your query about passport status, she will present the necessary papers next Monday."" Read on",As to
1075,as long as,Meaning: to put condition of time on an action,Example: The car will keep running as long as you take good care of it. Read on,as long as
1076,as for,Meaning: to be regarding (something or someone),"Example: The meeting stands dissolved now. As for the agenda, I am happy to make the decisions all by myself. Read on",As for
